Time,Temperature (C),Humidity (%)
10:28:40,19.0,48.0
10:28:41,19.0,49.0
10:28:43,19.0,48.0
10:28:45,19.0,48.0
10:28:46,19.0,48.0
10:28:48,19.0,48.0
10:28:49,19.0,48.0
10:28:51,19.0,48.0
10:28:53,19.0,48.0
10:28:54,19.0,48.0
10:28:56,19.0,48.0
10:28:58,19.0,48.0
10:29:00,19.0,48.0
10:29:01,19.0,48.0
10:29:03,19.0,48.0
10:29:04,19.0,48.0
10:29:06,19.0,48.0
10:29:07,19.0,48.0
10:29:09,19.0,48.0
10:29:11,19.0,48.0
10:29:12,19.0,48.0
10:29:14,19.0,48.0
10:29:15,19.0,48.0
10:29:17,19.0,48.0
10:29:18,19.0,48.0
10:29:20,19.0,48.0
10:29:21,19.0,48.0
10:29:23,19.0,48.0
10:29:24,19.0,48.0
10:29:26,19.0,48.0
10:29:27,19.0,48.0
10:29:29,19.0,48.0
10:29:30,19.0,48.0
10:29:32,19.0,48.0
10:29:34,19.0,48.0
10:29:36,19.0,48.0
10:29:37,19.0,48.0
10:29:39,19.0,48.0
10:29:40,19.0,48.0
10:29:42,19.0,48.0
10:29:43,19.0,48.0
10:29:45,19.0,48.0
10:29:46,19.0,48.0
10:29:48,19.0,48.0
10:29:49,19.0,48.0
10:29:51,19.0,48.0
10:29:52,19.0,48.0
10:29:54,19.0,48.0
10:29:55,19.0,48.0
10:29:57,19.0,48.0
10:29:58,19.0,48.0
10:30:00,19.0,48.0
10:30:01,19.0,48.0
10:30:03,19.0,48.0
10:30:05,19.0,48.0
10:30:06,19.0,48.0
10:30:08,19.0,48.0
10:30:10,19.0,48.0
10:30:11,19.0,48.0
10:30:13,19.0,48.0
10:30:14,19.0,48.0
10:30:16,19.0,48.0
10:30:17,19.0,48.0
10:30:19,19.0,48.0
10:30:20,19.0,48.0
10:30:22,19.0,48.0
10:30:23,19.0,48.0
10:30:25,19.0,49.0
10:30:26,19.0,48.0
10:30:28,19.0,48.0
10:30:30,19.0,48.0
10:30:31,19.0,48.0
10:30:33,19.0,48.0
10:30:34,19.0,48.0
10:30:36,19.0,47.0
10:30:37,19.0,48.0
10:30:39,19.0,48.0
10:30:40,19.0,48.0
10:30:42,19.0,48.0
10:30:43,19.0,48.0
10:30:45,19.0,48.0
10:30:46,19.0,48.0
10:30:48,19.0,48.0
10:30:49,19.0,48.0
10:30:51,19.0,48.0
10:30:52,19.0,48.0
10:30:54,19.0,48.0
10:30:55,19.0,48.0
10:30:57,19.0,48.0
10:30:59,19.0,48.0
10:31:00,19.0,48.0
10:31:02,19.0,49.0
10:31:03,19.0,48.0
10:31:05,19.0,48.0
10:31:06,19.0,48.0
10:31:08,19.0,48.0
10:31:10,19.0,48.0
10:31:11,19.0,48.0
10:31:13,19.0,48.0
10:31:15,19.0,48.0
10:31:16,19.0,48.0
10:31:18,19.0,48.0
10:31:19,19.0,48.0
10:31:21,19.0,48.0
10:31:22,19.0,48.0
10:31:25,19.0,48.0
10:31:26,19.0,48.0
10:31:28,19.0,48.0
10:31:29,19.0,48.0
10:31:31,19.0,48.0
10:31:32,19.0,48.0
10:31:34,19.0,48.0
10:31:35,19.0,48.0
10:31:37,19.0,48.0
10:31:39,19.0,48.0
10:31:40,19.0,48.0
10:31:42,19.0,48.0
10:31:43,19.0,48.0
10:31:45,19.0,48.0
10:31:46,19.0,48.0
10:31:48,19.0,49.0
10:31:50,19.0,48.0
10:31:51,19.0,48.0
10:31:53,19.0,48.0
10:31:54,19.0,48.0
10:31:56,19.0,48.0
10:31:57,19.0,49.0
